413	678	etext96	Charles Dickens #10	The Cricket on the Hearth
414	677	etext96	Charles Kingsley [Greek Fairy Tales]	Heroes
415	676	etext96	Charles Dickens[Dickens#10]	The Battle of Life
416	675	etext96	Charles Dickens [Dickens #9]	American Notes
417	674	etext96	A. H. Clough	Plutarch's Lives [Dryden's Trans]
418	673	etext96		Gutenberg Webster's Unabridged Dictionary [HTML]
419	672	etext96	Russ Walter WP51	The Secret Guide to Computers
420	672	etext96	Russ Walter .txt	The Secret Guide to Computers
421	671	etext96	Horatio Alger, Jr.[Alger #8]	Phil, the Fiddler
422	670	etext96		The Gutenberg Webster's Unabridged Dictionary [XZ]
423	669	etext96		The Gutenberg Webster's Unabridged Dictionary [TW]
424	668	etext96		The Gutenberg Webster's Unabridged Dictionary [S]
425	667	etext96		The Gutenberg Webster's Unabridged Dictionary [R]
426	666	etext96		The Gutenberg Webster's Unabridged Dictionary [PQ]
427	665	etext96		The Gutenberg Webster's Unabridged Dictionary [MO]
428	664	etext96		The Gutenberg Webster's Unabridged Dictionary [IL]
429	663	etext96		The Gutenberg Webster's Unabridged Dictionary [FH]
430	662	etext96		The Gutenberg Webster's Unabridged Dictionary [DE]
431	661	etext96		The Gutenberg Webster's Unabridged Dictionary [C]
432	660	etext96		The Gutenberg Webster's Unabridged Dictionary [AB]
433	659	etext96	Horatio Alger, Jr. [Alger #7]	Paul The Peddler
434	658	etext96	Quintus Smyrnaeus [400 A.D.]	The Fall of Troy
435	657	etext96	James Ingram	The Anglo-Saxon Chronicle, Trans.
436	656	etext96	William Sharp	Life of Robert Browning
437	655	etext96	Mrs. Orr	Life and Letters of Robert Browning
438	654	etext96	John Bunyan	Grace Abounding to Chief of Sinners
439	653	etext96	Charles Dickens  [Dickens #8]	The Chimes
440	651	etext96	Lewis Carroll #5	Phantasmagoria and Other Poems
441	650	etext96	Charles Dickens[Dickens#7]	Pictures From Italy
442	649	etext96		Ancient Poems, Ballads and Songs of England [Bell]
443	648	etext96	George Borrow [George Borrow #5]	Wild Wales
444	647	etext96	RL & Fanny VDG Stevenson [RLS#32]	The Dynamiter
445	646	etext96	R.M. Ballantyne	The Coral Island
446	645	etext96	Henry James[James#12]	The Figure in the Carpet
447	644	etext96	Charles Dickens[#6]	Haunted Man/Ghost's Bargain
448	643	etext96	Henry James [James #11]	The Death of the Lion
449	642	etext96	Henry James [James #10]	The Altar of the Dead
450	641	etext96	Andrew Lang][#4]	The Violet Fairy Book  [Edited
451	640	etext96	Andrew Lang][#3]	The Yellow Fairy Book  [Edited
452	639	etext96	Eliza Burt Gamble	God-Idea of the Ancients
453	638	etext96	Joseph Conrad[JC#10]	An Outcast of the Islands
454	636	etext96	Charles MacKay	Memoirs of Popular Delusions V1
455	635	etext96		The Square Root of 10[to 1 million digits [math14]
456	634	etext96		Miscellaneous Mathematical Constants Etc [math13]
457	633	etext96		The Golden Mean or Ratio[(1+sqrt(5))/2]  [math12]
458	632	etext96		The Square Root of 8 [to 1 million digits [math11]
459	631	etext96		The Square Root of 7 [to 1 million digits [math10]
460	630	etext96		The Square Root of 6 [to 1 million digits [math9]
461	629	etext96		The Square Root of 5 [to 1 million digits [math8]
462	628	etext96		The Square Root of 3 [to 1 million digits [math7]
463	627	etext96	Robert Louis Stevenson[RLS#30]	Essays of Travel
464	626	etext96	Richard de Bury	The Philobiblon of Richard de Bury
465	625	etext96	Thomas Bailey Aldrich [TBA#2]	Ponkapog Papers
466	624	etext96	Edward Bellamy	Looking Backward, 2000 to 1887
467	623	etext96	Jonathan Swift[JS#1]	Battle of the Books et al
468	621	etext96	Wm. James	Varieties of Religious Experience
469	620	etext96	Lewis Carroll [Carroll #4]	Sylvie and Bruno
470	619	etext96	Anthony Trollope  [Trollope #1]	The Warden
471	618	etext96		Codex Junius 11, Biblical Anglo-Saxon Translations
472	617	etext96	Alan Seeger	Poems
473	616	etext96	Stevenson[27&28]	Vailima Prayers & Sabbath Morn
474	615	etext96	Ludovico Ariosto	Orlando Furioso
475	614	etext96	Robert Louis Stevenson [#26]	Across The Plains
476	613	etext96		Previous Constitution of Japan  [1889]
477	612	etext96		The Constitution of Japan [1946-7]
478	611	etext96	John Buchan      [John Buchan #4]	Prester John
479	610	etext96	Alfred, Lord Tennyson [#1]	Idylls of the King
