name,DS100,"UIC (IBNR)",Latitude,Longitude
Argeles-sur-Mer,XFAR,8700487
Arkel,ONAKL,8400068,51.87194442749,4.9927778244019
Arles,XFARL,8700139
Arlon,XBAR,8800022
Armsheim,FARM,8000602,49.808372,8.074113
Arnbach,MANB,8000603,48.34132,11.344044
Arnemuiden,ONARM,8400069,51.501667022705,3.6691665649414
"Arnhem Centraal",XNAH,8400071,51.985000610352,5.8991665840149
"Arnhem Presikhaaf",ONAHP,8400075,51.988056182861,5.9438886642456
"Arnhem Velperpoort",ONAHV,8400072,51.985279083252,5.9194445610046
"Arnhem Zuid",PNAAN,8400029,51.955001831055,6.60041
Arnoldstein,XAAR,8100056,46.5515619582999,13.708026901493
Arnsberg(Westf),EARB,8000605,51.405662,8.067965
Arnschwang,NARG,8000606,49.274608,12.8116
Arnsdorf(Dresden),DAF,8010006,51.092807,13.982212
"Arnstadt Hbf",UA,8010007,50.841939,10.948262
"Arnstadt Süd",UASD,8011055,50.831084,10.954958
Arosa,XSAO,8509157,46.7832957175431,9.67933313854315
Arrach,NARR,8007343,49.195364,13.002804
Arras(F),XFAS,8700071
Arsbeck,KARS,8000611,51.152006,6.206563
Artenay(Loiret),XFAY,8700629
Artern,UAT,8012440,51.36324,11.310757
Arth-Goldau,XSAG,8505004,47.0491562199955,8.54949116321607
Arvant,XFARV,8700089
Arzberg(Oberfr),NAZ,8000613,50.054633,12.197692
As(CZ),XTAS,5400122
"Aschaffenburg Hbf",NAH,8000010,49.980557,9.143697
"Aschaffenburg Hochschule",NAHF,8000618,49.974445,9.160416
"Aschaffenburg Süd",NASU,8000619,49.968465,9.152586
Aschau(Chiemgau),MASC,8000621,47.779106,12.325564
Ascheberg(Holst),AAG,8000011,54.148462,10.339481
Ascheberg(Westf),EASB,8000623,51.782991,7.600749
Aschendorf,HASD,8000624,53.052179,7.337153
Aschersleben,LAL,8010009,51.757122,11.465689
Ashausen,AASN,8000627,53.368693,10.145564
Ashford(Kent),XKA,7000107
"Ashford(Kent) Int.",XKAI,7098107
Asperg,TAX,8000630,48.907359,9.147797
Asse,XBASS,8800338
Asselheim,RASH,8000625,49.57622,8.161602
Assen,ONAS,8400073,52.991664886475,6.5708332061768
Assenheim(Oberhess),FAS,8000632,50.304939,8.812462
Assmannshausen,FAH,8000635,49.985324,7.867355
Attendorn,EAT,8000638,51.124644,7.908493
"Attendorn-Hohen Hagen",EHOH,8087039,51.090165,7.855281
Attnang-Puchheim,XAAT,8100017,48.0112229645186,13.7192394888439
"Au SG",XSAU,8506316,47.4361134138699,9.64124454757032
"Au ZH",XSAZ,8503205,47.2468165267712,8.64370806189535
"Au im Murgtal",RWSA,8000643,48.718867,8.362349
Au(Sieg),KAU,8000012,50.773765,7.656537
Aue(Sachs),DAU,8010010,50.591682,12.698518
"Aue(Sachs) Erzgebirgsstadion",DAUS,8010027,50.596641,12.70935
Aue-Wingeshausen,EAWN,8000647,51.051785,8.290085
Auehütte,UAE,8011057,50.719672,10.416666
"Auerbach(V) ob Bf",DAUO,8010011,50.519136,12.382054
"Auerbach(V) unt Bf",DAUU,8010012,50.511722,12.391421
"Auerbach(Vogtl) Hp",DAUH,8011059,50.506955,12.379204
"Auerbach(b Mosbach, Baden)",RACH,8000649,49.399563,9.223276
Auersmacher,SAM,8000651,49.14339809,7.04472464
Auerstedt,UAS,8011060,51.10203,11.590437
"Auestadion, Kassel",FKNZA,714006
Aufhausen(Württ),TAUF,8000655,48.85613,10.317193
"Aufhausen(b Erding)",MAFE,8000653,48.274365,11.894375
"Augartenstraße, Karlsruhe",RKAG,721323
Auggen,RAUG,8000657,47.789949,7.586788
"Augsburg Haunstetterstraße",MAHA,8000658,48.355285,10.900985
"Augsburg Hbf",MA,8000013,48.365441,10.88557
"Augsburg Messe",MAGM,8000659,48.338684,10.886086
"Augsburg Morellstr.",MAMS,8000660,48.355089,10.892948
Augsburg-Hochzoll,MAHZ,8000661,48.352977,10.943376
Augsburg-Oberhausen,MAOB,8000662,48.380772,10.872533
Augustfehn,HAUG,8000664,53.22089,7.759659
"Augustusburg Bergstation",DAUG,8080060
Aukrug,AAU,8003078,54.082398,9.78581
Aulendorf,TAU,8000014,47.953052,9.644046
"Aulnoye Aymeries",XFAU,8700017
Aumenau,FAUM,8000668,50.400422,8.249249
Aumühle,AAH,8000669,53.529853,10.314672
Auneau(Dourdan),XFAUN,8700560
Auringen-Medenbach,FAM,8000671,50.113608,8.332093
Auvelais,XBAU,8800106
"Auw an der Kyll",SAUW,8000674,49.903596,6.614525
"Außenried",NAUR,8000672,49.015763,13.181763
Avesnes-sur-Helpe,XFAVN,8700239
"Avignon Centre",XFAV,8700172
"Avignon TGV",XFAVV,8704918
Aying,MAY,8000675,47.968762,11.769578
"Aßlar",FAL,8000633,50.588657,8.462756
"Aßling(Oberbay)",MAG,8000634,47.989491,11.993518
Baabe,WBA,8011063,54.362315,13.704806
Baalberge,LBB,8010013,51.763048,11.784682
Baar-Ebenhausen,MBAE,8000678,48.674463,11.460929
Baarn,ONBR,8400086,52.208332061768,5.2808332443237
"Babenhausen Langstadt",FLAS,8003559,49.922274,8.945733
Babenhausen(Hess),FBA,8000015,49.957963,8.957182
Babstadt,RBST,8000681,49.240196,9.060708
Babylon,XTBY,5400400
Bacharach,FBCH,8000683,50.056101,7.769523
Bachern,MBCN,8000685,48.280159,11.378716
Bachfeld,UB,8011065,50.405772,10.982451
Bachheim,RBH,8000686,47.862072,8.399399
Backnang,TB,8000016,48.942676,9.425989
"Bad Abbach",NBAB,8000689,48.922732,11.994322
"Bad Aibling",MBAI,8000690,47.862028,12.004157
"Bad Aibling Kurpark",MBAK,8000696,47.857617,12.013823
"Bad Arolsen",FAR,8000609,51.3816,8.997792
"Bad Aussee",XABA,8100164,47.5990565231694,13.7765235895763
"Bad Bellingen",RBEL,8000864,47.730804,7.557601
"Bad Belzig",BBIG,8010031,52.135969,12.594981
"Bad Bentheim",HBTH,8000879,52.30985,7.158539
