CODE POSTAL  VILLE                              CODE PAYS  N° INSEEBUREAU DISTRIBUTEUR
01310        ST MARTIN LE CHATEL                100        01375   ST MARTIN LE CHATEL
01700        ST MAURICE DE BEYNOST              100        01376   ST MAURICE DE BEYNOST
01800        ST MAURICE DE GOURDANS             100        01378   ST MAURICE DE GOURDANS
01500        ST MAURICE DE REMENS               100        01379   ST MAURICE DE REMENS
01560        ST NIZIER LE BOUCHOUX              100        01380   ST NIZIER LE BOUCHOUX
01320        ST NIZIER LE DESERT                100        01381   ST NIZIER LE DESERT
01330        STE OLIVE                          100        01382   STE OLIVE
01240        ST PAUL DE VARAX                   100        01383   ST PAUL DE VARAX
01230        ST RAMBERT EN BUGEY                100        01384   ST RAMBERT EN BUGEY
01310        ST REMY                            100        01385   ST REMY
01150        ST SORLIN EN BUGEY                 100        01386   ST SORLIN EN BUGEY
01340        ST SULPICE                         100        01387   ST SULPICE
01560        ST TRIVIER DE COURTES              100        01388   ST TRIVIER DE COURTES
01990        ST TRIVIER SUR MOIGNANS            100        01389   ST TRIVIER SUR MOIGNANS
01150        ST VULBAS                          100        01390   ST VULBAS
01270        SALAVRE                            100        01391   SALAVRE
01580        SAMOGNAT                           100        01392   SAMOGNAT
01400        SANDRANS                           100        01393   SANDRANS
01790        SAULT BRENAZ                       100        01396   SAULT BRENAZ
01220        SAUVERNY                           100        01397   SAUVERNY
01480        SAVIGNEUX                          100        01398   SAVIGNEUX
01170        SEGNY                              100        01399   SEGNY
01470        SEILLONNAZ                         100        01400   SEILLONNAZ
01630        SERGY                              100        01401   SERGY
01190        SERMOYER                           100        01402   SERMOYER
01470        SERRIERES DE BRIORD                100        01403   SERRIERES DE BRIORD
01450        SERRIERES SUR AIN                  100        01404   SERRIERES SUR AIN
01960        SERVAS                             100        01405   SERVAS
01560        SERVIGNAT                          100        01406   SERVIGNAT
01420        SEYSSEL                            100        01407   SEYSSEL
01250        SIMANDRE                           100        01408   SIMANDRE
01260        SONGIEU                            100        01409   SONGIEU
01580        SONTHONNAX LA MONTAGNE             100        01410   SONTHONNAX LA MONTAGNE
01150        SOUCLIN                            100        01411   SOUCLIN
01400        SULIGNAT                           100        01412   SULIGNAT
01420        SURJOUX                            100        01413   SURJOUX
01260        SUTRIEU                            100        01414   SUTRIEU
01510        TALISSIEU                          100        01415   TALISSIEU
01970        TENAY                              100        01416   TENAY
01110        THEZILLIEU                         100        01417   THEZILLIEU
01120        THIL                               100        01418   THIL
01710        THOIRY                             100        01419   THOIRY
01140        THOISSEY                           100        01420   THOISSEY
01230        TORCIEU                            100        01421   TORCIEU
01250        TOSSIAT                            100        01422   TOSSIAT
01600        TOUSSIEUX                          100        01423   TOUSSIEUX
01390        TRAMOYES                           100        01424   TRAMOYES
01160        LA TRANCLIERE                      100        01425   LA TRANCLIERE
01370        TREFFORT CUISIAT                   100        01426   TREFFORT CUISIAT
01600        TREVOUX                            100        01427   TREVOUX
01140        VALEINS                            100        01428   VALEINS
01660        VANDEINS                           100        01429   VANDEINS
01160        VARAMBON                           100        01430   VARAMBON
