aliases,common_name,height,kind,max_height,max_width,min_height,min_width,pig_latin,planted,publish,scientific_name,thumbnail,width
"'Blue Velvet'","Eremorphila nivea",,Plant,,,,,Eremorphila.nivea,2018-11-12,Yes,"Eremorphila nivea","<a href='http://savage.net.au/Flowers/Eremorphila.nivea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Eremorphila.nivea.0.jpg' alt = ""Eremorphila nivea""></a>",
"Albanian spurge, Mediterranean Spurge","Wulfen Spurge",1m,Plant,100,100,100,100,Euphorbia.characias.subsp.wulfenii,2018-11-12,Yes,"Euphorbia characias subsp. wulfenii","<a href='http://savage.net.au/Flowers/Euphorbia.characias.subsp.wulfenii.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Euphorbia.characias.subsp.wulfenii.0.jpg' alt = ""Euphorbia characias subsp. wulfenii""></a>",1m
,"Dwarf Crown of Thorns",30cm,Plant,30,30,30,30,Euphorbia.milii,2018-11-12,Yes,"Euphorbia milii","<a href='http://savage.net.au/Flowers/Euphorbia.milii.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Euphorbia.milii.0.jpg' alt = ""Euphorbia milii""></a>",30cm
"'Egg and Bacon Plant'",Eutaxia,,Plant,,,,,Eutaxia.obovata.nana,2018-11-12,Yes,"Eutaxia obovata nana","<a href='http://savage.net.au/Flowers/Eutaxia.obovata.nana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Eutaxia.obovata.nana.0.jpg' alt = ""Eutaxia obovata nana""></a>",
"Common Fig",Fig,,Tree,,,,,Ficus.carica,2018-11-12,Yes,"Ficus carica","<a href='http://savage.net.au/Flowers/Ficus.carica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ficus.carica.0.jpg' alt = ""Ficus carica""></a>",
,'Coralle',1m,Plant,100,,100,,,2018-11-12,Yes,Fuchsia,"<a href='http://savage.net.au/Flowers/Fuchsia.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Fuchsia.2.0.jpg' alt = ""Fuchsia 2""></a>",
,Fuchsia,60cm,Plant,60,30,60,30,Fuchsia.1,2018-11-12,Yes,Fuchsia,"<a href='http://savage.net.au/Flowers/Fuchsia.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Fuchsia.1.0.jpg' alt = ""Fuchsia 1""></a>",30cm
"'Sunseeker Mix'",Gazania,,Plant,,,,,Gazania,2018-11-12,Yes,Gazania,"<a href='http://savage.net.au/Flowers/Gazania.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Gazania.0.jpg' alt = ""Gazania""></a>",
"Prostrate form","Hop Goodenia",,Plant,,,,,,2018-12-16,,"Goodenia ovata","<a href='http://savage.net.au/Flowers/Goodenia.ovata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Goodenia.ovata.0.jpg' alt = ""Goodenia ovata""></a>",
,'Fireworks',1m,Plant,100,75,100,75,Grevillea.4,2018-11-12,Yes,Grevillea,"<a href='http://savage.net.au/Flowers/Grevillea.4.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.4.0.jpg' alt = ""Grevillea 4""></a>",75cm
