common_name,note
"West Coast Gem","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Rose mallow","Flowering: 2011-11-14, in Spring (Melbourne, Victoria, Australia)"
"Rose mallow","It is still flowering strongly 2012-03-19"
"Rose mallow","The flowers are not aromatic"
"Rose mallow","Pruning: Prune to shape in early spring and follow up with a complete fertilizer, and abundant summer water. Tip prune occasionally for a bushier plant"
"Himalayan Knotweed","A dense and hardy groundcover with spikes of red and pink flowers throughout Summer"
"Himalayan Knotweed","Foliage gets bronzy coloring in Autumn"
"Himalayan Knotweed","Happy in sun or shade in moist or fairly dry soil"
"Himalayan Knotweed","Spread 20cm x 80cm"
"Himalayan Knotweed","Supplier: Rippon Lea Estate"
Honeysuckle,"Flowering: 2011-12-20, in Spring (Melbourne, Victoria, Australia)"
Honeysuckle,"Pruning: Keep under control"
Honeysuckle,"Feeding: No"
Honeysuckle,"Status: Defunct"
"Hummingbird Plant","Deciduous clumping plant topped with tubular orange flowers from late Spring until Summer"
Hydrangea,"Status: Defunct"
"'Golden Nugget'","Dwarf version of the 'Native frangipani'"
"'Golden Nugget'","A shrub with large, glossy leaves and yellow perfumed flowers"
"'Golden Nugget'","Great feature or pot plant that can be used indoors or outdoors"
