1558	GO:0005783 	 endoplasmic reticulum 
56988	GO:0005783 	 endoplasmic reticulum 
1553	GO:0005783 	 endoplasmic reticulum 
9524	GO:0005783 	 endoplasmic reticulum 
8879	GO:0005783 	 endoplasmic reticulum 
5764	GO:0005783 	 endoplasmic reticulum 
22800	GO:0005783 	 endoplasmic reticulum 
581	GO:0005783 	 endoplasmic reticulum 
5611	GO:0005783 	 endoplasmic reticulum 
5140	GO:0005783 	 endoplasmic reticulum 
7146	GO:0005783 	 endoplasmic reticulum 
171423	GO:0005783 	 endoplasmic reticulum 
2222	GO:0005783 	 endoplasmic reticulum 
7415	GO:0005783 	 endoplasmic reticulum 
9601	GO:0005783 	 endoplasmic reticulum 
57515	GO:0005783 	 endoplasmic reticulum 
1650	GO:0005783 	 endoplasmic reticulum 
1314	GO:0005783 	 endoplasmic reticulum 
6185	GO:0005783 	 endoplasmic reticulum 
54499	GO:0005783 	 endoplasmic reticulum 
5862	GO:0005783 	 endoplasmic reticulum 
54732	GO:0005783 	 endoplasmic reticulum 
23385	GO:0005783 	 endoplasmic reticulum 
9218	GO:0005783 	 endoplasmic reticulum 
116138	GO:0005783 	 endoplasmic reticulum 
60481	GO:0005783 	 endoplasmic reticulum 
284119	GO:0005783 	 endoplasmic reticulum 
6892	GO:0005783 	 endoplasmic reticulum 
7070	GO:0005783 	 endoplasmic reticulum 
23710	GO:0005783 	 endoplasmic reticulum 
26580	GO:0005783 	 endoplasmic reticulum 
5447	GO:0005783 	 endoplasmic reticulum 
7095	GO:0005783 	 endoplasmic reticulum 
23071	GO:0005783 	 endoplasmic reticulum 
3992	GO:0005783 	 endoplasmic reticulum 
10492	GO:0005783 	 endoplasmic reticulum 
10006	GO:0005783 	 endoplasmic reticulum 
7327	GO:0005783 	 endoplasmic reticulum 
123	GO:0005783 	 endoplasmic reticulum 
6307	GO:0005783 	 endoplasmic reticulum 
11196	GO:0005783 	 endoplasmic reticulum 
488	GO:0005783 	 endoplasmic reticulum 
2137	GO:0005783 	 endoplasmic reticulum 
9554	GO:0005783 	 endoplasmic reticulum 
6713	GO:0005783 	 endoplasmic reticulum 
7991	GO:0005783 	 endoplasmic reticulum 
10749	GO:0005783 	 endoplasmic reticulum 
1201	GO:0005783 	 endoplasmic reticulum 
50814	GO:0005783 	 endoplasmic reticulum 
8818	GO:0005783 	 endoplasmic reticulum 
51014	GO:0005783 	 endoplasmic reticulum 
10488	GO:0005783 	 endoplasmic reticulum 
2010	GO:0005783 	 endoplasmic reticulum 
9374	GO:0005783 	 endoplasmic reticulum 
23037	GO:0005783 	 endoplasmic reticulum 
1798	GO:0005783 	 endoplasmic reticulum 
11236	GO:0005783 	 endoplasmic reticulum 
30844	GO:0005783 	 endoplasmic reticulum 
2135	GO:0005783 	 endoplasmic reticulum 
84272	GO:0005783 	 endoplasmic reticulum 
51141	GO:0005783 	 endoplasmic reticulum 
9562	GO:0005783 	 endoplasmic reticulum 
27348	GO:0005783 	 endoplasmic reticulum 
1066	GO:0005783 	 endoplasmic reticulum 
972	GO:0005783 	 endoplasmic reticulum 
5283	GO:0005783 	 endoplasmic reticulum 
26190	GO:0005783 	 endoplasmic reticulum 
2861	GO:0005783 	 endoplasmic reticulum 
8824	GO:0005783 	 endoplasmic reticulum 
51752	GO:0005783 	 endoplasmic reticulum 
10026	GO:0005783 	 endoplasmic reticulum 
26002	GO:0005783 	 endoplasmic reticulum 
23169	GO:0005783 	 endoplasmic reticulum 
49855	GO:0005783 	 endoplasmic reticulum 
10597	GO:0005783 	 endoplasmic reticulum 
57157	GO:0005783 	 endoplasmic reticulum 
2890	GO:0005783 	 endoplasmic reticulum 
23127	GO:0005783 	 endoplasmic reticulum 
25956	GO:0005783 	 endoplasmic reticulum 
8115	GO:0005783 	 endoplasmic reticulum 
84720	GO:0005783 	 endoplasmic reticulum 
328	GO:0005783 	 endoplasmic reticulum 
1522	GO:0005783 	 endoplasmic reticulum 
8774	GO:0005783 	 endoplasmic reticulum 
51257	GO:0005783 	 endoplasmic reticulum 
1580	GO:0005783 	 endoplasmic reticulum 
7108	GO:0005783 	 endoplasmic reticulum 
4653	GO:0005783 	 endoplasmic reticulum 
23509	GO:0005783 	 endoplasmic reticulum 
8529	GO:0005783 	 endoplasmic reticulum 
11283	GO:0005783 	 endoplasmic reticulum 
7841	GO:0005783 	 endoplasmic reticulum 
2852	GO:0005783 	 endoplasmic reticulum 
8435	GO:0005783 	 endoplasmic reticulum 
10555	GO:0005783 	 endoplasmic reticulum 
23562	GO:0005783 	 endoplasmic reticulum 
63941	GO:0005783 	 endoplasmic reticulum 
57142	GO:0005783 	 endoplasmic reticulum 
5213	GO:0005783 	 endoplasmic reticulum 
23305	GO:0005783 	 endoplasmic reticulum 
26103	GO:0005783 	 endoplasmic reticulum 
51124	GO:0005783 	 endoplasmic reticulum 
6309	GO:0005783 	 endoplasmic reticulum 
401562	GO:0005783 	 endoplasmic reticulum 
10720	GO:0005783 	 endoplasmic reticulum 
2327	GO:0005783 	 endoplasmic reticulum 
5730	GO:0005783 	 endoplasmic reticulum 
23193	GO:0005783 	 endoplasmic reticulum 
23204	GO:0005783 	 endoplasmic reticulum 
3309	GO:0005783 	 endoplasmic reticulum 
23190	GO:0005783 	 endoplasmic reticulum 
11328	GO:0005783 	 endoplasmic reticulum 
729316	GO:0005783 	 endoplasmic reticulum 
125061	GO:0005783 	 endoplasmic reticulum 
90411	GO:0005783 	 endoplasmic reticulum 
92140	GO:0005783 	 endoplasmic reticulum 
23225	GO:0005783 	 endoplasmic reticulum 
22937	GO:0005783 	 endoplasmic reticulum 
286451	GO:0005783 	 endoplasmic reticulum 
23213	GO:0005783 	 endoplasmic reticulum 
64764	GO:0005783 	 endoplasmic reticulum 
23392	GO:0005783 	 endoplasmic reticulum 
253782	GO:0005783 	 endoplasmic reticulum 
23505	GO:0005783 	 endoplasmic reticulum 
831	GO:0005783 	 endoplasmic reticulum 
201562	GO:0005783 	 endoplasmic reticulum 
91289	GO:0005783 	 endoplasmic reticulum 
23241	GO:0005783 	 endoplasmic reticulum 
6272	GO:0005783 	 endoplasmic reticulum 
8760	GO:0005783 	 endoplasmic reticulum 
10802	GO:0005783 	 endoplasmic reticulum 
137886	GO:0005783 	 endoplasmic reticulum 
83989	GO:0005783 	 endoplasmic reticulum 
