MathMLGSL_PERLRNG_WITH_OC,MathMLGSL_PERLRNG_WO_OC,PDLGSL_PDLGSLUNIF_WITH_OC,PDLGSL_PDLGSLUNIF_WO_OC,PDLGSL_PDLUNIF_WITH_OC,PDLGSL_PDLUNIF_WO_OC,PDLGSL_PERLRNGPDL_WITH_OC,PDLGSL_PERLRNGPDL_WO_OC
0.642808,0.639853,0.049948,0.050569,0.046515,0.045434,0.157908,0.153676
0.641214,0.644111,0.050531,0.050141,0.045544,0.046300,0.153898,0.152474
0.646679,0.640557,0.050664,0.050144,0.045946,0.045663,0.154362,0.152553
0.641462,0.644465,0.052672,0.050162,0.047748,0.045721,0.154325,0.154996
0.644359,0.642536,0.050373,0.049749,0.045741,0.046467,0.154925,0.152747
0.641970,0.647747,0.052554,0.050532,0.045824,0.045915,0.153833,0.148335
0.642922,0.642828,0.049907,0.049656,0.046785,0.045576,0.149401,0.153812
0.648298,0.644232,0.050082,0.050016,0.046668,0.045434,0.154457,0.155589
0.656228,0.644329,0.049886,0.050756,0.045605,0.046343,0.150330,0.154353
0.643434,0.642036,0.050277,0.050205,0.045670,0.047642,0.155668,0.150189
0.644478,0.646039,0.050224,0.050252,0.046281,0.045026,0.150859,0.154959
0.641706,0.640579,0.050440,0.051210,0.045787,0.045540,0.153461,0.153492
0.648552,0.642313,0.050211,0.049920,0.045376,0.045486,0.153921,0.152870
0.644041,0.644068,0.050148,0.050163,0.045636,0.048483,0.151080,0.153125
0.645867,0.642243,0.050048,0.049916,0.046858,0.045159,0.155704,0.150117
0.644095,0.655850,0.052612,0.051764,0.045433,0.046345,0.154578,0.151371
0.641905,0.637247,0.050066,0.049650,0.046059,0.045884,0.154353,0.159442
0.640523,0.645100,0.050088,0.050781,0.045476,0.045584,0.153336,0.153572
0.647637,0.641547,0.050281,0.049469,0.046390,0.046318,0.154688,0.149909
0.648911,0.643175,0.050364,0.050483,0.045641,0.045956,0.149921,0.153390
0.644089,0.641102,0.049702,0.050708,0.045400,0.045630,0.153981,0.152847
0.643640,0.643747,0.050493,0.049382,0.045963,0.046075,0.152147,0.152749
0.642708,0.642064,0.049860,0.049839,0.046369,0.045872,0.155619,0.152904
0.642092,0.645037,0.049935,0.050049,0.045543,0.045483,0.153569,0.150353
0.637776,0.641406,0.049808,0.049874,0.045625,0.045909,0.154173,0.153167
0.643917,0.641894,0.050717,0.052050,0.046135,0.045514,0.150502,0.152606
0.642958,0.649010,0.050038,0.050123,0.045431,0.045584,0.180346,0.149347
0.643707,0.651094,0.050037,0.051813,0.045544,0.046800,0.153875,0.152963
0.640106,0.638931,0.050461,0.050385,0.045614,0.045650,0.153509,0.149483
0.646348,0.643578,0.051547,0.049821,0.045771,0.045529,0.149238,0.153861
0.641291,0.645791,0.049841,0.050148,0.045514,0.045653,0.154474,0.152726
0.644107,0.646240,0.049978,0.050003,0.045536,0.045277,0.152847,0.152468
0.644142,0.637524,0.051493,0.050014,0.046360,0.046670,0.152706,0.150458
0.645137,0.640873,0.050355,0.051322,0.046031,0.045177,0.149399,0.153017
0.639419,0.646374,0.050257,0.050852,0.045803,0.045217,0.151572,0.153394
0.638561,0.644142,0.049819,0.049990,0.045847,0.045349,0.153706,0.152782
0.644732,0.641952,0.051450,0.050397,0.046640,0.045965,0.150365,0.152774
0.649960,0.642174,0.050202,0.049853,0.046867,0.046256,0.160012,0.149447
0.645632,0.643629,0.051075,0.049676,0.045904,0.045688,0.153269,0.151976
0.643518,0.647981,0.049431,0.049941,0.046577,0.049212,0.149586,0.153683
0.643449,0.640685,0.050300,0.050644,0.046065,0.046537,0.152842,0.154935
0.641790,0.640982,0.051065,0.049701,0.045631,0.045947,0.151671,0.151257
0.641190,0.637638,0.050036,0.051509,0.045964,0.044904,0.152842,0.153277
0.644474,0.645162,0.049923,0.050228,0.045652,0.045715,0.149841,0.149428
0.641815,0.646735,0.050293,0.049820,0.046240,0.046342,0.149755,0.152589
0.642742,0.640415,0.050207,0.051375,0.046350,0.045774,0.152882,0.154004
0.640356,0.642713,0.050262,0.050625,0.045671,0.045859,0.155838,0.150320
0.638210,0.641828,0.049731,0.049499,0.046773,0.045742,0.155530,0.152684
0.643276,0.645396,0.049848,0.050494,0.045943,0.045994,0.153436,0.153248
