gene_callers_id	t_superkingdom	t_phylum	t_class	t_order	t_family	t_genus	t_species
NZ_HG326224.1|read276	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read278	Bacteria						
NZ_HG326224.1|read279	Bacteria						
NZ_HG326224.1|read281	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read282	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola
NZ_HG326224.1|read283	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola
NZ_HG326224.1|read284	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola
NZ_HG326224.1|read291	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	
NZ_HG326224.1|read292	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read293	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read294	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium tetani
NZ_HG326224.1|read295	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read297	Bacteria	Firmicutes	Bacilli	Bacillales			
NZ_HG326224.1|read299	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326224.1|read300	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read301	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read302	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read303	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read304	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read305	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read306	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read307	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read308	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326224.1|read309	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read310	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
NZ_HG326224.1|read311	Bacteria						
NZ_HG326224.1|read312	Bacteria	Thermotogae					
NZ_HG326224.1|read315	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
NZ_HG326224.1|read316	Bacteria	Firmicutes					
NZ_HG326224.1|read319	Bacteria						
NZ_HG326224.1|read320	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read321	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read322	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326224.1|read323	Bacteria	Firmicutes					
NZ_HG326224.1|read328	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus	
NZ_HG326224.1|read329	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
NZ_HG326224.1|read330	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read331	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read333	Bacteria	Firmicutes					
NZ_HG326224.1|read334	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read335	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read336	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
NZ_HG326224.1|read337	Bacteria						
NZ_HG326224.1|read338	Bacteria						
NZ_HG326224.1|read339	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
NZ_HG326224.1|read347	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	
NZ_HG326224.1|read354	Bacteria	Firmicutes					
NZ_HG326224.1|read355	Bacteria	Firmicutes					
NZ_HG326224.1|read356	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read357	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read358	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum
NZ_HG326224.1|read359	Bacteria						
NZ_HG326224.1|read360	Bacteria						
NZ_HG326224.1|read364	Bacteria	Firmicutes					
NZ_HG326224.1|read365	Bacteria						
NZ_HG326224.1|read366	Bacteria	Firmicutes					
NZ_HG326224.1|read369	Bacteria	Firmicutes					
NZ_HG326224.1|read370	Bacteria	Firmicutes					
NZ_HG326224.1|read372	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
NZ_HG326224.1|read376	Bacteria	Firmicutes					
NZ_HG326224.1|read378	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read382	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read387	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
NZ_HG326224.1|read393	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
NZ_HG326224.1|read394	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read395	Bacteria	Firmicutes					
NZ_HG326224.1|read396	Bacteria	Firmicutes	Clostridia				
NZ_HG326224.1|read397	Bacteria	Firmicutes					
NZ_HG326224.1|read400	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	
NZ_HG326224.1|read401	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read402	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read403	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium	
NZ_HG326224.1|read405	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	
NZ_HG326224.1|read410	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read411	Bacteria						
NZ_HG326224.1|read412							
NZ_HG326224.1|read413	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
NZ_HG326224.1|read415	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read416	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326224.1|read423	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
NZ_HG326224.1|read425	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read427	Bacteria	Firmicutes					
NZ_HG326224.1|read429	Bacteria	Firmicutes					
NZ_HG326224.1|read430	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read432	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read433	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read437	Bacteria	Firmicutes	Clostridia				
NZ_HG326224.1|read438	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Mogibacterium	
NZ_HG326224.1|read439	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
NZ_HG326224.1|read440	Bacteria	Firmicutes					
NZ_HG326224.1|read444	Bacteria	Firmicutes					
NZ_HG326224.1|read445	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
NZ_HG326224.1|read446	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
NZ_HG326224.1|read449	Bacteria	Firmicutes					
NZ_HG326224.1|read450	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	
NZ_HG326224.1|read451	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read452	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read453	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read454	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read455	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read460	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read461	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read462	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	
NZ_HG326224.1|read463	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma yeatsii
NZ_HG326224.1|read464	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium acetobutylicum
NZ_HG326224.1|read465	Bacteria	Firmicutes					
NZ_HG326224.1|read466	Bacteria						
NZ_HG326224.1|read467	Bacteria	Bacteroidetes	Cytophagia	Cytophagales			
NZ_HG326224.1|read472	Bacteria	Proteobacteria	Gammaproteobacteria				
NZ_HG326224.1|read473	Bacteria						
NZ_HG326224.1|read474	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
NZ_HG326224.1|read475	Bacteria	Firmicutes					
NZ_HG326224.1|read476	Bacteria	Firmicutes					
NZ_HG326224.1|read477	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read478	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read481	Bacteria	Firmicutes					
NZ_HG326224.1|read482	Bacteria	Firmicutes					
NZ_HG326224.1|read483	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read485	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae		
NZ_HG326224.1|read486	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read489	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	
NZ_HG326224.1|read491	Bacteria	Firmicutes					
NZ_HG326224.1|read492	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	
NZ_HG326224.1|read493	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read494	Bacteria	Firmicutes					
NZ_HG326224.1|read495	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read496	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read498	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read499	Bacteria	Firmicutes					
