name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	sample	blanc	isotopes	adduct	pcgroup	fold	tstat	pvalue	norm.b1	CV.samp	CV.pool	CV.ind	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M151T1539	M151.1123T25.65	151.112250645902	151.108121332239	151.114452109323	25.6461919629261	25.6396046445393	25.64949300964	25	25	0			88	22.3176762935587	-4.00613221432018	0.000306528638464698	0	1.65330830564122	0.165302585740471	1	3991.08710055881	6598.49745189142	1.65330830564122	3991.08710055881	659.737017637811	0.165302585740471	0.099982916178698
M153T677	M153.0113T11.28	153.011335847804	153.01047907246	153.014959692189	11.2773296056279	11.2734069602138	11.2857551588776	42	36	6	[52][M]+		27	137.843619627426	-14.3607045379028	4.44089209850063e-16	1	0.468492493077659	0.0318124302276243	1	68599.2007054016	32138.2105616083	0.468492493077659	71942.8842863887	2288.67798673479	0.0318124302276243	0.0679038206538583
M153T1692	M153.0646T28.2	153.064624067472	153.062855877526	153.088488444351	28.1956685080679	28.1889808676669	28.4483698781775	60	36	0			109	21.9090549582522	-10.3978531516299	2.92477153607251e-12	1	0.63671951555187	0.0776275659396305	1	7096.20622290826	4518.29298850631	0.63671951555187	8594.12662069194	667.141130941297	0.0776275659396305	0.121917993784669
M156T1075	M156.0696T17.92	156.069557195721	156.065007630342	156.07180411354	17.9236806633109	17.8189346929628	17.9274795784125	16	16	0		[M+H-HCOOH]+ 201.069	48	14.2238304613083	-12.2823656021695	2.57571741713036e-14	1	0.467253440900657	0.03215397199792	1	6820.30558507512	3186.81125262032	0.467253440900657	5628.87753541071	180.990770653317	0.03215397199792	0.0688148426171918
M158T647	M158.0716T10.79	158.071607006232	158.045202422221	158.078642489766	10.785142898061	10.7801869486646	10.7899142042744	30	30	0		[M+H+HCOOH]+ 111.061	8	456.814183980143	-18.1650218973409	0	1	0.349027678030639	0.018733650206437	1	166734.046207405	58194.7969964238	0.349027678030639	184072.735377404	3448.35423710232	0.018733650206437	0.0536738241280465
M159T967	M159.0929T16.12	159.09292912078	159.091643966051	159.093719008902	16.1228022912918	16.1140747951135	16.1348938269304	34	34	0			196	81.8928112020077	-6.91033673767991	4.98474492793832e-08	1	0.39522819565679	0.102887866828535	1	17612.071106159	6960.7870850663	0.39522819565679	23700.808146235	2438.52559227847	0.102887866828535	0.260325219605235
M159T2729	M159.1158T45.48	159.115793246571	159.114605210616	159.116488557878	45.4839233328987	45.4771738567426	45.489870544045	33	33	0			34	67.2015834778845	-3.30821502433064	0.00218066707550779	0	2.0432584767277	0.151254998630562	1	27613.9931844076	56422.5256503416	2.0432584767277	27613.9931844076	4176.75450129192	0.151254998630562	0.0740263654125635
M160T350	M160.042T5.83	160.041960543008	160.041467549574	160.043576987472	5.82700610443728	5.81993971415343	5.8369677776448	45	36	9	[56][M]+	[M+K]+ 121.086	967	17.5328873652534	-17.7053831320767	0	1	0.342059420431989	0.0584743183988887	1	17481.6655970471	5979.76840231177	0.342059420431989	21333.7683606363	1247.47756376799	0.0584743183988887	0.170947838024871
M160T761	M160.0785T12.68	160.078471790986	160.077994475683	160.078825996033	12.682733855748	12.6618697404253	12.686393496796	45	36	9	[57][M]+	[M+Na+HCOOH]+ 91.0737	58	34.6841919120441	-7.31692313271586	1.46201681872071e-08	1	0.470964769574157	0.260839877292313	1	322419.408390754	151848.182378987	0.470964769574157	527160.104098932	137504.376866568	0.260839877292313	0.553841591013617
M160T1106	M160.0786T18.44	160.078634647463	160.078332339156	160.078907114992	18.43865469476	18.4347311481632	18.4409243671222	36	36	0			18	1583.10689482967	-18.3941168418453	0	1	0.366839996896897	0.0359361965628275	1	410823.770822222	150706.590813596	0.366839996896897	452646.492039314	16266.3933113991	0.0359361965628275	0.0979615005637666
M160T1480	M160.0936T24.67	160.09357308408	160.092970091374	160.095857383569	24.6665624152426	24.6616384604203	24.6707863114061	10	10	0			225	24.9391079858817	-16.0932672572049	0	0	0.410687609351894	0.0623967326130616	1	4479.07100762261	1839.49896423791	0.410687609351894	4479.07100762262	279.479396017545	0.0623967326130616	0.151932347585382
M160T616	M160.1349T10.26	160.13491912751	160.13325582213	160.136244859493	10.2630782675133	10.2597009677977	10.2682191349732	45	36	9	[58][M]+	[M+Na+NH3]+ 120.116	2	110.43618020042	-26.3866105381139	0	1	0.256400864258863	0.0175448323104638	1	1961863.84514097	503023.585452362	0.256400864258863	2119337.32023668	37183.4178928604	0.0175448323104638	0.0684273524630186
M160T636	M160.1346T10.59	160.134596631875	160.13241965802	160.13541607022	10.5936029575055	10.5889276153907	10.59896714291	45	36	9	[59][M]+	[M+Na]+ 137.144	4	122.834955095137	-20.1740758103894	0	1	0.326502900279957	0.0175266281408814	1	1372000.73390092	447962.218804879	0.326502900279957	1432668.76258253	25109.8526508407	0.0175266281408814	0.0536798543775671
M161T2553	M161.131T42.54	161.130979513174	161.129897920958	161.131592251922	42.5425701030688	42.538866094225	42.5468467868387	17	17	0			205	18.0050630825804	-11.3494250723633	2.60680366181987e-13	1	0.601344659537656	0.0624985660602842	1	6816.88641929079	4099.29824291529	0.601344659537656	8286.22832427155	517.877388315084	0.0624985660602842	0.103931356284658
M162T2653	M162.1351T44.21	162.135131126531	162.133769954279	162.136418732777	44.213037000108	43.6958517940861	44.7255830408472	41	36	0		[M+2H]2+ 322.26	43	41.9625765054078	-7.74754936235723	4.24020774048017e-09	0	0.867074083226277	0.15725042601524	1	8990.03103298611	7795.02291610221	0.867074083226277	8990.03103298611	1413.68620982729	0.15725042601524	0.181357543786951
M163T691	M163.0448T11.52	163.044800295707	163.042495741543	163.046038196335	11.5160428556685	11.5066244344126	11.5219832147972	23	23	0		[M+H-COCH2]+ 204.048	73	7.78526265704025	-8.32842474222855	6.53531451177969e-10	1	0.556840452465057	0.069002722998801	1	2632.16717555731	1465.697161001	0.556840452465057	2210.33988534231	152.519470841477	0.069002722998801	0.123918301361432
M163T1008	M163.0962T16.81	163.096153681733	163.056649592381	163.09676204023	16.806368573823	16.7945281941397	17.0193806414756	62	36	8		[M+K+NH3]+ 107.106	16	90.925333995868	-17.4085421874222	0	1	0.36605638409923	0.0291746697501293	1	155705.062537217	56996.8321783182	0.36605638409923	140588.811290014	4101.63213994942	0.0291746697501293	0.0796999342653746
M163T1171	M163.0845T19.52	163.084487776226	163.083920041649	163.109636994232	19.5236357654564	19.4678430468444	19.5322322552001	17	16	1		[M+Na+HCOOH]+ 94.0888	65	31.2105539096145	-13.4050041100978	1.77635683940025e-15	1	0.473880003296936	0.0297270903480231	1	6428.44098142862	3046.30963347356	0.473880003296936	6954.07772284918	206.724496754312	0.0297270903480231	0.0627312613767244
M163T635	M163.0965T10.59	163.09647199063	163.064585818391	163.097380024994	10.5904511633401	10.3339664248121	10.5977380628209	45	31	4		[M+Na]+ 140.107	4	160.562693297509	-6.07300424888082	6.18619359737949e-07	1	0.872743071107801	0.235720309207628	1	199972.934045036	174524.992596903	0.872743071107801	338219.754793453	79725.265180041	0.235720309207628	0.270091298357054
M164T607	M164.054T10.12	164.054019843777	164.052685557868	164.06448616961	10.1245266512681	9.99305668199004	10.3448290440601	69	36	9		[3M+2Na]2+ 94.0517	873	13.7773511963833	-2.03256977306983	0.0497355703305795	0	2.4481503156801	0.210635506667191	1	26593.4880981446	65104.8562825075	2.4481503156801	26593.4880981445	5601.53283960058	0.210635506667191	0.0860386330521034
M164T533	M164.0606T8.88	164.06061416606	164.051549247357	164.061293904797	8.88378824019384	8.87863889912073	8.92089159266576	33	24	9			24	37.1291028476692	-4.00505836307366	0.000307639900793522	0	1.64030959668328	0.134569669476792	1	41456.9120279948	68002.1706483742	1.64030959668328	41456.9120279948	5578.84294913569	0.134569669476792	0.0820391892779833
M164T702	M164.0975T11.69	164.09754077794	164.097043599612	164.097960979413	11.6919600768713	11.6863827236284	11.695489697125	36	36	0		[3M+Na]+ 47.0373	13	211.06155061503	-16.3980784709086	0	1	0.410877300618544	0.0380941708217888	1	75262.2221370708	30923.5386702328	0.410877300618544	77970.516037106	2970.22215698054	0.0380941708217888	0.0927142257906216
M165T1106	M165.0621T18.44	165.062097589051	165.06139899917	165.063179240119	18.4358267414068	18.4309243161611	18.4411221486515	29	29	0		[M+2Na-H]+ 120.096	18	27.3729271729261	-18.5023215109391	0	1	0.34157101243682	0.0371348824351003	1	7286.04069849726	2488.70029804158	0.34157101243682	7967.66789657763	295.878410621334	0.0371348824351003	0.108717897839674
M165T1444	M165.074T24.07	165.073983189821	165.073022709603	165.074918629247	24.0718727584759	24.0669174362563	24.0773057787195	36	36	0			7	216.119645954243	-15.3216350604345	0	1	0.416708892251244	0.018875673799312	1	97344.9760467874	40564.5171346807	0.416708892251244	93653.9389661633	1767.78120194597	0.018875673799312	0.0452970266541165
M165T1419	M165.0642T23.65	165.064221869367	165.062358807247	165.067956261325	23.6496378206936	23.6375918708993	23.6677834882519	36	36	0		[M+Na]+ 142.077 [M+2Na+K]3+ 410.255	28	79.7399020641104	-18.6449316825921	0	1	0.331044701075469	0.0257924189266829	1	30324.5872205511	10038.7939116643	0.331044701075469	34123.4665229808	880.126743791359	0.0257924189266829	0.077912193860499
M165T2834	M165.1221T47.23	165.122096396154	165.119782588675	165.122974345626	47.2346129306939	47.2287594340897	47.2439700190245	22	22	0		[M+2H-COCH2]2+ 370.248	54	12.0905683457622	-6.21435897546189	3.42678723619372e-07	0	1.00827371877878	0.168107995235564	1	1555.79411655002	1568.66631954803	1.00827371877878	1555.79411655002	261.541429932509	0.168107995235564	0.166728530263762
