use Unicode::Collate::CJK::JISX0208
overrideCJK Unicode::Collate::CJK::JISX0208::weightJISX0208
#katakana
30F2 3099 30FC;<30FA 30FC>
FF66 FF9E 30FC;<30FA 30FC>
FF66 FF9E FF70;<30FA 30FC>
31F3 30FC;<31F3><30A9>---8
31F9 30FC;<31F9><30A9>---8
31FF 30FC;<31FF><30A9>---8
#iteration
30A1 30FD;<30A1><30A2>---1
FF67 30FD;<30A1 30FD>
3041 309D;<3041><30A2>---1
30A2 30FD;<30A2><30A2>---1
FF71 30FD;<30A2 30FD>
3042 309D;<3042><30A2>---1
30A3 30FD;<30A3><30A4>---1
FF68 30FD;<30A3 30FD>
3043 309D;<3043><30A4>---1
30A4 30FD;<30A4><30A4>---1
FF72 30FD;<30A4 30FD>
3044 309D;<3044><30A4>---1
30A5 30FD;<30A5><30A6>---1
FF69 30FD;<30A5 30FD>
3045 309D;<3045><30A6>---1
30A5 30FE;<30A5><30A6>---1<3099>
FF69 30FE;<30A5 30FE>
3045 309E;<3045><30A6>---1<3099>
30A6 30FD;<30A6><30A6>---1
FF73 30FD;<30A6 30FD>
3046 309D;<3046><30A6>---1
30A6 30FE;<30A6><30A6>---1<3099>
FF73 30FE;<30A6 30FE>
3046 309E;<3046><30A6>---1<3099>
30A7 30FD;<30A7><30A8>---1
FF6A 30FD;<30A7 30FD>
3047 309D;<3047><30A8>---1
30A8 30FD;<30A8><30A8>---1
FF74 30FD;<30A8 30FD>
3048 309D;<3048><30A8>---1
30A9 30FD;<30A9><30AA>---1
FF6B 30FD;<30A9 30FD>
3049 309D;<3049><30AA>---1
30AA 30FD;<30AA><30AA>---1
FF75 30FD;<30AA 30FD>
304A 309D;<304A><30AA>---1
30AB 30FD;<30AB><30AB>---1
FF76 30FD;<30AB 30FD>
304B 309D;<304B><30AB>---1
30AB 30FE;<30AB><30AB>---1<3099>
FF76 30FE;<30AB 30FE>
304B 309E;<304B><30AB>---1<3099>
30AC 30FD;<30AC><30AB>---1
30AB 3099 30FD;<30AC 30FD>
FF76 FF9E 30FD;<30AC 30FD>
304C 309D;<304C><30AB>---1
304B 3099 309D;<304C 309D>
30AC 30FE;<30AC><30AB>---1<3099>
30AB 3099 30FE;<30AC 30FE>
FF76 FF9E 30FE;<30AC 30FE>
304C 309E;<304C><30AB>---1<3099>
304B 3099 309E;<304C 309E>
30AD 30FD;<30AD><30AD>---1
FF77 30FD;<30AD 30FD>
304D 309D;<304D><30AD>---1
30AD 30FE;<30AD><30AD>---1<3099>
FF77 30FE;<30AD 30FE>
304D 309E;<304D><30AD>---1<3099>
30AE 30FD;<30AE><30AD>---1
30AD 3099 30FD;<30AE 30FD>
FF77 FF9E 30FD;<30AE 30FD>
304E 309D;<304E><30AD>---1
304D 3099 309D;<304E 309D>
30AE 30FE;<30AE><30AD>---1<3099>
30AD 3099 30FE;<30AE 30FE>
FF77 FF9E 30FE;<30AE 30FE>
304E 309E;<304E><30AD>---1<3099>
304D 3099 309E;<304E 309E>
30AF 30FD;<30AF><30AF>---1
FF78 30FD;<30AF 30FD>
304F 309D;<304F><30AF>---1
30AF 30FE;<30AF><30AF>---1<3099>
FF78 30FE;<30AF 30FE>
304F 309E;<304F><30AF>---1<3099>
30B0 30FD;<30B0><30AF>---1
30AF 3099 30FD;<30B0 30FD>
FF78 FF9E 30FD;<30B0 30FD>
3050 309D;<3050><30AF>---1
304F 3099 309D;<3050 309D>
30B0 30FE;<30B0><30AF>---1<3099>
30AF 3099 30FE;<30B0 30FE>
FF78 FF9E 30FE;<30B0 30FE>
3050 309E;<3050><30AF>---1<3099>
304F 3099 309E;<3050 309E>
30B1 30FD;<30B1><30B1>---1
FF79 30FD;<30B1 30FD>
3051 309D;<3051><30B1>---1
